               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.026814,           0.0059012,                   0,             0.93268,             0.75439,             0.81408,             0.34479,            0.042172,           0.0075174,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.025654,           0.0060215,                   0,             0.93245,             0.72655,             0.81745,             0.36772,            0.039839,           0.0075082,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.026415,           0.0060112,                   0,             0.86953,             0.73684,             0.79307,             0.36834,            0.040625,           0.0075038,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.025931,           0.0061859,                   0,             0.86967,             0.70242,             0.75892,             0.30283,            0.042977,           0.0076738,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.025603,           0.0056808,                   0,             0.90801,             0.70175,             0.79033,             0.34611,            0.040987,           0.0079075,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.025952,           0.0061161,                   0,             0.92037,             0.70976,             0.79437,             0.36517,            0.040236,           0.0078879,                   0,            0.004258,            0.004258,            0.004258
                  60,              0.0255,           0.0058885,                   0,             0.96413,             0.70739,             0.82081,             0.37655,            0.039475,           0.0077097,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.024895,           0.0056901,                   0,             0.93124,             0.71281,             0.81642,             0.34804,            0.041377,           0.0077352,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.024065,           0.0056139,                   0,             0.86446,             0.78325,              0.8208,              0.3663,            0.040607,           0.0077126,                   0,            0.003961,            0.003961,            0.003961
                  63,             0.02517,           0.0057866,                   0,             0.83702,             0.76586,             0.79852,             0.34719,            0.041552,           0.0078227,                   0,            0.003862,            0.003862,            0.003862
                  64,             0.02493,           0.0055627,                   0,             0.95171,             0.71053,             0.81077,             0.35005,            0.041159,           0.0077439,                   0,            0.003763,            0.003763,            0.003763
